Alpha,CV_Score
0.07955311572665781,0.48283887907811973
0.07631798442887339,0.4814294751912473
0.07321441396837741,0.49001876235102254
0.07023705425198515,0.5035523918860141
0.06738077275503508,0.5073761406058288
0.06464064567368095,0.5122966836310314
0.06201194943698732,0.515565409165706
0.05949015256419686,0.5162652820004828
0.05707090785313255,0.5162900236437216
0.05475004488626862,0.5088223869019154
0.05252356284155196,0.5032703216532145
0.05038762359558083,0.5019907496331873
0.048338545107251794,0.5112280599137784
0.04637279507046936,0.5270720656776426
0.04448698482497639,
0.04267786351480859,
0.04094231248430302,
0.03927733990200032,
0.03768007560317288,
0.03614776614208838,
0.03467777004547949,
0.033267553259037415,
0.031914684779079716,
0.030616832461862087,
0.029371759003309898,
0.028177318082239243,
0.02703145066041892,
0.025932181433095208,
0.024877615423860723,
0.02386593471799734,
